texte,categorie,label,type_document,anonymized
"Package de rémunération du comité exécutif, [PERSONNE] inclus, montant total 150 000 TND. Diffusion strictement limitée à la direction générale. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Rémunération dirigeant,True
"Formulaire de souscription assurance vie. Souscripteur : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 25.159.132). Bénéficiaire désigné en cas de décès : conjoint(e). Reçu le 12/03/2026.",Personnelles,C3,Demande de souscription contrat,True
"[ORGANISATION] Santé : Pour votre bien-être, adoptez une alimentation équilibrée et pratiquez une activité physique régulière. Pour toute question médicale, consultez votre médecin traitant.",Publique,C1,Conseils prévention et santé,True
"Demande d'adhésion au contrat d'assurance groupe [ORGANISATION]. Adhérent : [PERSONNE], résidant à Nabeul. [IDENTIFIANT] : [IDENTIFIANT], Tél : +216 77 914 559. Signature requise pour finaliser la souscription.",Personnelles,C3,Demande de souscription contrat,True
"Procédure de fonctionnement du [SERVICE] Production : étapes à suivre pour le traitement des demandes courantes, réservée au personnel de l'entreprise.",RH,C2,Procédure interne,True
"Communiqué financier : [ORGANISATION] affiche des résultats solides pour l'exercice écoulé, avec une hausse du chiffre d'affaires global et de nombreux nouveaux contrats signés à Tunis.",Publique,C1,Actualités financières COMAR,True
"ORDONNANCE — Dr. [PERSONNE], Centre médical [ORGANISATION], Tunis. Patient : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Prescription médicale pour lombalgie chronique. Document de santé protégé par le secret médical. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Ordonnance médicale,True
"Procédure de fonctionnement du [SERVICE] R&D : étapes à suivre pour le traitement des demandes courantes, réservée au personnel de l'entreprise.",RH,C2,Procédure interne,True
"[DONNEES] Charte de confidentialité : comment nous traitons vos données personnelles collectées sur notre site web institutionnel. Conformément à la législation en vigueur, vous disposez d'un droit d'accès et de rectification.",Publique,C1,Politique de confidentialité publique,True
"Simulation de tarif pour une assurance auto [ORGANISATION]. Client : [PERSONNE]. Véhicule de tourisme, usage privé. Montant de la cotisation annuelle estimé à 48 000 TND. Valable 30 jours.",Finance,C3,Devis et simulation assurance,True
Scénario de restructuration stratégique concernant le [SERVICE] Achats. Ces éléments sont classés au plus haut niveau de sensibilité et leur divulgation prématurée est interdite. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.,Strategique,C4,Plan de restructuration,True
Rémunération globale du dirigeant [PERSONNE] pour l'exercice en cours : 12 500 TND. Cette information est réservée aux membres du conseil d'administration. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.,Finance,C4,Rémunération dirigeant,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] R&D à Bizerte, prenant effet le 05/06/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
"[DONNEES] Projet d'acquisition en cours de négociation avec un partenaire industriel, montant envisagé 7 800 TND. Ce dossier ne doit être consulté que par les membres du comité exécutif jusqu'à son annonce officielle. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Strategique,C4,Plan de fusion-acquisition,True
"Arrêt de travail médical — [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [IDENTIFIANT] 6275937C/P/N/000). Durée : 3 jours à compter du 22/01/2026. Motif : lombalgie chronique. À transmettre uniquement au [SERVICE] RH dans le respect du secret médical. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Arrêt maladie,True
[DONNEES] Procédure judiciaire en cours concernant un différend avec un partenaire industriel. Les pièces de ce dossier ne peuvent être communiquées qu'aux avocats mandatés et à la direction générale. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.,Juridique,C4,Litige juridique majeur,True
"[DONNEES] Tout savoir sur l'assurance habitation : garanties obligatoires, franchises et options disponibles pour protéger votre logement et votre famille.",Publique,C1,Guide assurance auto/habitation,True
Devis d'assurance habitation n° POL-517082 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 3 200 TND pour une couverture multirisque à Nabeul.,Finance,C3,Devis et simulation assurance,True
Devis d'assurance habitation n° POL-747200 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 150 000 TND pour une couverture multirisque à Sousse.,Finance,C3,Devis et simulation assurance,True
"Communiqué de presse du 18/11/2026 : [ORGANISATION] annonce le lancement de sa nouvelle gamme de produits, disponible dès aujourd'hui pour le grand public tunisien.",Publique,C1,Communiqué de presse,True
Note interne du 18/11/2026 concernant l'organisation du [SERVICE] Logistique pour le trimestre à venir. Ne pas transmettre en dehors de l'entreprise.,RH,C2,Note de service,True
"Récapitulatif de rémunération de [PERSONNE] : 22 900 TND, à conserver dans le dossier du salarié, accès restreint au [SERVICE] RH.",Finance,C3,Bulletin de paie,True
"[DONNEES] Éléments stratégiques relatifs au rapprochement avec un fonds d'investissement, prévu pour le 12/03/2026. Toute fuite d'information avant l'annonce officielle exposerait l'entreprise à un risque financier majeur. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Strategique,C4,Plan de fusion-acquisition,True
"Ordonnance médicale concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Traitement prescrit le 30/09/2025 par Dr. [PERSONNE]. Ce document ne peut être consulté que par le personnel médical habilité et le pharmacien. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Ordonnance médicale,True
"Attestation médicale — Patient : [PERSONNE], [IDENTIFIANT] [IDENTIFIANT], [CONTACT]. Consultation du 22/01/2026 à Hôpital [PERSONNE]. Motif : lombalgie chronique. Ne pas diffuser en dehors du circuit médical autorisé. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Certificat médical,True
"Conditions particulières du contrat d'assurance auto n° POL-149092 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216 27 173 101). Date d'effet : 22/01/2026. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"Demande d'adhésion au contrat d'assurance groupe [ORGANISATION]. Adhérent : [PERSONNE], résidant à Nabeul. [IDENTIFIANT] : [IDENTIFIANT], Tél : +216-55-765-118. Signature requise pour finaliser la souscription.",Personnelles,C3,Demande de souscription contrat,True
"[DONNEES] Offre d'emploi ouverte à candidature : poste à pourvoir au sein de l'équipe Sinistres, annonce publiée sur les plateformes de recrutement tunisiennes.",Publique,C1,Offre d'emploi publiée,True
"Déclaration de sinistre n° SIN-2025742 — Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [CONTACT]). Police POL-457644. Montant réclamé : 3 200 TND. Dossier à traiter par le [SERVICE] Sinistres.",Personnelles,C3,Déclaration sinistre assurance,True
"Arrêt de travail médical — [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [IDENTIFIANT] 2520660J/P/M/000). Durée : 30 jours à compter du 12/03/2026. Motif : hypertension artérielle. À transmettre uniquement au [SERVICE] RH dans le respect du secret médical. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Arrêt maladie,True
Appel de cotisation pour votre assurance auto n° POL-547100. Assuré : [PERSONNE]. Montant net à payer : 48 000 TND avant le 05/06/2026. Coordonnées bancaires [ORGANISATION] pour virement : [IDENTIFIANT] 22866009997494117159.,Finance,C3,Avis d'échéance et appel de cotisations,True
"Bulletin de salaire de [PERSONNE] pour le mois en cours, [SERVICE] Support client. Montant net à payer : 48 000 TND. Document personnel ne pouvant être partagé sans consentement.",Finance,C3,Bulletin de paie,True
"Accord commercial conclu entre [ORGANISATION] et un groupe international, portant sur une prestation d'un montant de 48 000 TND. Les termes de cet accord ne peuvent être divulgués sans autorisation.",Juridique,C3,Contrat commercial,True
"Bonjour à tous, je vous propose de planifier une réunion de travail pour faire le point sur le dossier de l'assurance client de M. [PERSONNE]. Merci de m'indiquer vos disponibilités.",RH,C2,Invitation et planification réunion,True
"Relevé de remboursement [ORGANISME] pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Montant remboursé : 1 850 TND. Acte médical : burn-out professionnel. Données de santé couvertes par le secret médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Attestation CNAM / mutuelle,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] Support client à Gabès, prenant effet le 18/11/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Logistique, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 4677418I/P/M/000. Prise en charge médicale pour lombalgie chronique. Document contenant des données de santé protégées. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.,Medicale,C4,Attestation CNAM / mutuelle,True
"Rapport d'expertise sinistre pour [PERSONNE], référence SIN-2026170. Coordonnées : +21654355563, Gabès. Document contenant des données personnelles et financières sensibles.",Personnelles,C3,Déclaration sinistre assurance,True
"CERTIFICAT MÉDICAL — Je soussigné(e) Dr. [PERSONNE], certifie avoir examiné ce jour M./[PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) et constate un état de santé nécessitant un repos de 15 jours. Établi à Nabeul le 05/06/2026. Ce document est couvert par le secret médical. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Certificat médical,True
"Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 5331424S/A/C/000. Prise en charge médicale pour lombalgie chronique. Document contenant des données de santé protégées. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Attestation CNAM / mutuelle,True
"[DONNEES] Offre d'emploi ouverte à candidature : poste à pourvoir au sein de l'équipe Achats, annonce publiée sur les plateformes de recrutement tunisiennes.",Publique,C1,Offre d'emploi publiée,True
"Mise à jour du moyen de paiement de [PERSONNE] : nouvel [IDENTIFIANT] TN590708239448048734057 enregistré dans le système, accès limité au [SERVICE] Finance. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Finance,C4,Coordonnées bancaires client,True
"Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 3151057V/P/C/000. Prise en charge médicale pour burn-out professionnel. Document contenant des données de santé protégées. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Attestation CNAM / mutuelle,True
"Plan de réorganisation du [SERVICE] Marketing, prévu pour le 30/09/2025, impliquant une révision des effectifs. Document réservé au comité de direction. Toute copie, impression ou diffusion nécessite une validation préalable.",Strategique,C4,Plan de restructuration,True
"Rapport d'expertise sinistre pour [PERSONNE], référence SIN-2025084. Coordonnées : (+216) 73.887.850, Nabeul. Document contenant des données personnelles et financières sensibles.",Personnelles,C3,Déclaration sinistre assurance,True
"[DONNEES] TEMPLATE DE CERTIFICAT MEDICAL D'APTITUDE
Je soussigné Dr [Nom du médecin] certifie que M./Mme [Nom du patient] ... 
Diagnostic : [________________]
Signature et cachet du médecin :",Publique,C1,Modèle de document vierge,True
"Attestation bancaire établie pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) : [IDENTIFIANT] 34036073771506138064, [IDENTIFIANT] TN596309840553728583931. Document à usage exclusif du [SERVICE] Finance et du client concerné. Information de niveau hautement confidentiel, soumise au secret professionnel.",Finance,C4,Attestation bancaire (RIB tunisien),True
Devis d'assurance habitation n° POL-745876 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 22 900 TND pour une couverture multirisque à Tunis.,Finance,C3,Devis et simulation assurance,True
[DONNEES] L'entreprise a le plaisir d'informer l'ensemble de ses parties prenantes et du public du succès de son événement annuel organisé à Nabeul le 12/03/2026.,Publique,C1,Communiqué de presse,True
"[DONNEES] Synthèse de l'échange hebdomadaire de l'équipe Support client, destinée uniquement aux membres présents et à leur hiérarchie directe.",RH,C2,Compte-rendu de réunion d'équipe,True
[DONNEES] Guide de santé publique : comment prévenir les maladies saisonnières. Des conseils simples pour renforcer votre système immunitaire cet hiver.,Publique,C1,Conseils prévention et santé,True
"Rapport d'évaluation médicale - Médecin conseil : Dr. [PERSONNE]. Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél : +216 56 892 823). Examen médical du dossier de sinistre SIN-2025780. Conclusion : lombalgie chronique, incapacité de 10 jours à valider. Soumis au secret médical strict. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Rapport médical médecin conseil,True
"[DONNEES] Offre d'emploi ouverte à candidature : poste à pourvoir au sein de l'équipe Achats, annonce publiée sur les plateformes de recrutement tunisiennes.",Publique,C1,Offre d'emploi publiée,True
"Rapport d'évaluation médicale - Médecin conseil : Dr. [PERSONNE]. Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél : (+216) 29.608.175). Examen médical du dossier de sinistre SIN-2026457. Conclusion : grippe saisonnière, incapacité de 10 jours à valider. Soumis au secret médical strict. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Rapport médical médecin conseil,True
"Certificat médical délivré par Hôpital [PERSONNE] concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Diagnostic : lombalgie chronique. Durée d'incapacité : 5 jours. Document strictement confidentiel, réservé au médecin conseil [ORGANISATION] et au [SERVICE] RH. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Certificat médical,True
"[DONNEES] Planning prévisionnel de l'équipe Sinistres pour le mois en cours, à consulter par les collaborateurs concernés uniquement.",RH,C2,Planning d'équipe,True
"Ordonnance médicale concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Traitement prescrit le 18/11/2026 par Dr. [PERSONNE]. Ce document ne peut être consulté que par le personnel médical habilité et le pharmacien. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Ordonnance médicale,True
"Plan de réorganisation du [SERVICE] Logistique, prévu pour le 12/03/2026, impliquant une révision des effectifs. Document réservé au comité de direction. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Strategique,C4,Plan de restructuration,True
"Compte-rendu médical concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]), établi le 12/03/2026 par Dr. [PERSONNE]. Ce document relève du secret médical et ne peut être consulté que par le personnel de santé autorisé. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Dossier médical complet,True
"ORDONNANCE — Dr. [PERSONNE], [PERSONNE], Bizerte. Patient : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Prescription médicale pour lombalgie chronique. Document de santé protégé par le secret médical. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Ordonnance médicale,True
"Relevé de facturation du client [PERSONNE], montant total 12 500 TND, à traiter exclusivement par le [SERVICE] comptabilité.",Finance,C3,Facture client,True
"[DONNEES] Offre d'emploi ouverte à candidature : poste à pourvoir au sein de l'équipe Production, annonce publiée sur les plateformes de recrutement tunisiennes.",Publique,C1,Offre d'emploi publiée,True
"ORDONNANCE — Dr. [PERSONNE], [PERSONNE] du Lac, Tunis. Patient : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Prescription médicale pour burn-out professionnel. Document de santé protégé par le secret médical. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Ordonnance médicale,True
"Arrêt de travail médical — [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [IDENTIFIANT] 1123547B/A/N/000). Durée : 3 jours à compter du 30/09/2025. Motif : burn-out professionnel. À transmettre uniquement au [SERVICE] RH dans le respect du secret médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Arrêt maladie,True
"Certificat d'arrêt de travail de [PERSONNE], établi par Dr. [PERSONNE] le 22/01/2026. Incapacité temporaire de 15 jours. Document couvert par le secret médical, accès restreint au médecin du travail [ORGANISATION]. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Arrêt maladie,True
"Accord commercial conclu entre [ORGANISATION] et un groupe international, portant sur une prestation d'un montant de 7 800 TND. Les termes de cet accord ne peuvent être divulgués sans autorisation.",Juridique,C3,Contrat commercial,True
"Plan de réorganisation du [SERVICE] Support client, prévu pour le 12/03/2026, impliquant une révision des effectifs. Document réservé au comité de direction. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Strategique,C4,Plan de restructuration,True
"Présentation de notre mission, de nos valeurs et de notre histoire, publiée sur la page d'accueil de notre site institutionnel [ORGANISATION].",Publique,C1,Page site web institutionnel,True
[DONNEES] Guide de santé publique : comment prévenir les maladies saisonnières. Des conseils simples pour renforcer votre système immunitaire cet hiver.,Publique,C1,Conseils prévention et santé,True
"Simulation de tarif pour une assurance auto [ORGANISATION]. Client : [PERSONNE]. Véhicule de tourisme, usage privé. Montant de la cotisation annuelle estimé à 48 000 TND. Valable 30 jours.",Finance,C3,Devis et simulation assurance,True
"Conditions particulières du contrat d'assurance auto n° POL-250208 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 26.987.599). Date d'effet : 30/09/2025. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"Dossier de contentieux opposant [ORGANISATION] à un partenaire industriel, enjeu financier estimé à 1 850 TND. Ce dossier est couvert par le secret professionnel. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Juridique,C4,Litige juridique majeur,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
"[DONNEES] Procédure judiciaire en cours concernant un différend avec un partenaire industriel. Les pièces de ce dossier ne peuvent être communiquées qu'aux avocats mandatés et à la direction générale. Information de niveau hautement confidentiel, soumise au secret professionnel.",Juridique,C4,Litige juridique majeur,True
"[DONNEES] Retrouvez notre actualité et nos communiqués officiels sur notre site internet, librement accessibles à tous.",Publique,C1,Communiqué de presse,True
"Procédure de fonctionnement du [SERVICE] Logistique : étapes à suivre pour le traitement des demandes courantes, réservée au personnel de l'entreprise.",RH,C2,Procédure interne,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Production, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
"Accord commercial conclu entre [ORGANISATION] et un partenaire industriel, portant sur une prestation d'un montant de 48 000 TND. Les termes de cet accord ne peuvent être divulgués sans autorisation.",Juridique,C3,Contrat commercial,True
"[DONNEES] Procédure judiciaire en cours concernant un différend avec un fonds d'investissement. Les pièces de ce dossier ne peuvent être communiquées qu'aux avocats mandatés et à la direction générale. Toute copie, impression ou diffusion nécessite une validation préalable.",Juridique,C4,Litige juridique majeur,True
"[ORGANISATION] annonce des performances financières stables pour ce semestre, consolidant sa position de leader sur le marché tunisien avec un montant net d'investissements record.",Publique,C1,Actualités financières COMAR,True
[DONNEES] Procédure judiciaire en cours concernant un différend avec un fonds d'investissement. Les pièces de ce dossier ne peuvent être communiquées qu'aux avocats mandatés et à la direction générale. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.,Juridique,C4,Litige juridique majeur,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] Production à Sousse, prenant effet le 12/03/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
"Relevé de facturation du client [PERSONNE], montant total 150 000 TND, à traiter exclusivement par le [SERVICE] comptabilité.",Finance,C3,Facture client,True
[DONNEES] L'entreprise a le plaisir d'informer l'ensemble de ses parties prenantes et du public du succès de son événement annuel organisé à Sousse le 22/01/2026.,Publique,C1,Communiqué de presse,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Souscription, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
"Plan de réorganisation du [SERVICE] Production, prévu pour le 22/01/2026, impliquant une révision des effectifs. Document réservé au comité de direction. Toute copie, impression ou diffusion nécessite une validation préalable.",Strategique,C4,Plan de restructuration,True
Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 1993223V/A/N/000. Prise en charge médicale pour fracture du poignet. Document contenant des données de santé protégées. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.,Medicale,C4,Attestation CNAM / mutuelle,True
"Fiche client [ORGANISATION] : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Nabeul, Tél: (+216) 25.873.477). Police n° POL-912360. Ce dossier contient des données sensibles assurantielles. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Personnelles,C4,Dossier client (données personnelles),True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 63578461138451302999, [IDENTIFIANT] TN596205287169444249879. Ne pas transmettre par messagerie non sécurisée. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Finance,C4,Attestation bancaire (RIB tunisien),True
"Mise à jour du moyen de paiement de [PERSONNE] : nouvel [IDENTIFIANT] TN593105229301179685145 enregistré dans le système, accès limité au [SERVICE] Finance. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Finance,C4,Coordonnées bancaires client,True
[DONNEES] Invitation réunion d'équipe : ordre du jour concernant le planning des audits internes et le suivi du dossier client. Rendez-vous dans la salle de conférence.,RH,C2,Invitation et planification réunion,True
Avis d'échéance [ORGANISATION]. Client : [PERSONNE]. Police n° POL-523927. Cotisation due pour la période du 30/09/2025 : 48 000 TND. À régler par prélèvement sur votre compte [IDENTIFIANT] TN592709310826277569990.,Finance,C3,Avis d'échéance et appel de cotisations,True
"Déclaration de sinistre n° SIN-2024041 — Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 20.053.782). Police POL-576371. Montant réclamé : 3 200 TND. Dossier à traiter par le [SERVICE] Sinistres.",Personnelles,C3,Déclaration sinistre assurance,True
[DONNEES] Guide de santé publique : comment prévenir les maladies saisonnières. Des conseils simples pour renforcer votre système immunitaire cet hiver.,Publique,C1,Conseils prévention et santé,True
Facture n° 2026-12/03/2026 émise au nom de [PERSONNE] pour un montant de 3 200 TND. Coordonnées de paiement : [IDENTIFIANT] TN596309924161195406278.,Finance,C3,Facture client,True
Politique de confidentialité et cookies de [ORGANISATION]. Nous attachons une grande importance à la protection de vos données personnelles et au respect du RGPD.,Publique,C1,Politique de confidentialité publique,True
[DONNEES] Invitation réunion d'équipe : ordre du jour concernant le planning des audits internes et le suivi du dossier client. Rendez-vous dans la salle de conférence.,RH,C2,Invitation et planification réunion,True
"Bulletin de salaire de [PERSONNE] pour le mois en cours, [SERVICE] R&D. Montant net à payer : 22 900 TND. Document personnel ne pouvant être partagé sans consentement.",Finance,C3,Bulletin de paie,True
"Dossier médical confidentiel de [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216 90 421 152). Antécédents : grippe saisonnière. Suivi à [PERSONNE]. Accès strictement restreint au médecin conseil [ORGANISATION]. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Dossier médical complet,True
"Dossier de suivi du client [PERSONNE], incluant ses informations de contact ([CONTACT], Fixe: [IDENTIFIANT]). Accès réservé aux collaborateurs habilités du [SERVICE] R&D. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Personnelles,C4,Dossier client (données personnelles),True
"Simulation de tarif pour une assurance auto [ORGANISATION]. Client : [PERSONNE]. Véhicule de tourisme, usage privé. Montant de la cotisation annuelle estimé à 22 900 TND. Valable 30 jours.",Finance,C3,Devis et simulation assurance,True
"Procédure de fonctionnement du [SERVICE] R&D : étapes à suivre pour le traitement des demandes courantes, réservée au personnel de l'entreprise.",RH,C2,Procédure interne,True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 61973014111094989905, [IDENTIFIANT] TN597001654183842936317. Ne pas transmettre par messagerie non sécurisée. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Attestation bancaire (RIB tunisien),True
[DONNEES] Le présent contrat lie l'entreprise à un groupe international à compter du 18/11/2026. Sa communication est réservée aux signataires et à la direction juridique.,Juridique,C3,Contrat commercial,True
Appel de cotisation pour votre assurance auto n° POL-685478. Assuré : [PERSONNE]. Montant net à payer : 48 000 TND avant le 12/03/2026. Coordonnées bancaires [ORGANISATION] pour virement : [IDENTIFIANT] 79358434231494521258.,Finance,C3,Avis d'échéance et appel de cotisations,True
"Attestation bancaire établie pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) : [IDENTIFIANT] 96841389288875699908, [IDENTIFIANT] TN599505215723148897555. Document à usage exclusif du [SERVICE] Finance et du client concerné. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Attestation bancaire (RIB tunisien),True
Organisation des congés et astreintes du [SERVICE] R&D jusqu'au 18/11/2026.,RH,C2,Planning d'équipe,True
[DONNEES] Le présent contrat lie l'entreprise à un fonds d'investissement à compter du 30/09/2025. Sa communication est réservée aux signataires et à la direction juridique.,Juridique,C3,Contrat commercial,True
"Demande d'adhésion au contrat d'assurance groupe [ORGANISATION]. Adhérent : [PERSONNE], résidant à Tunis. [IDENTIFIANT] : [IDENTIFIANT], Tél : +216 79 046 445. Signature requise pour finaliser la souscription.",Personnelles,C3,Demande de souscription contrat,True
"MODÈLE DE FICHE CLIENT VIERGE - [ORGANISATION] ASSURANCES
Nom de l'assuré : [Insérer Nom]
[IDENTIFIANT] : [__ __ __ __ __ __ __ __]
Téléphone : [Insérer Numéro]
Adresse : [Insérer Ville]
[IDENTIFIANT] : POL-xxxxxx
[IDENTIFIANT] : SIN-xxxxxxx",Publique,C1,Modèle de document vierge,True
"Déclaration de sinistre n° SIN-2024652 — Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216-28-519-067). Police POL-978326. Montant réclamé : 150 000 TND. Dossier à traiter par le [SERVICE] Sinistres.",Personnelles,C3,Déclaration sinistre assurance,True
"[DONNEES] Découvrez notre engagement en matière de responsabilité sociétale à Sfax, à retrouver sur notre site web ouvert à tous les visiteurs.",Publique,C1,Page site web institutionnel,True
"Fiche de prélèvement bancaire [ORGANISATION] : [PERSONNE], [IDENTIFIANT] TN599704869712106983577, [IDENTIFIANT] [IDENTIFIANT], Tél: +216-95-733-417. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Coordonnées bancaires client,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
[DONNEES] Guide de santé publique : comment prévenir les maladies saisonnières. Des conseils simples pour renforcer votre système immunitaire cet hiver.,Publique,C1,Conseils prévention et santé,True
Le présent contrat fixe les conditions d'emploi de [PERSONNE] au sein du [SERVICE] Production. Sa diffusion est strictement réservée aux ressources humaines et à l'intéressé(e).,RH,C3,Contrat de travail,True
"Scénario de restructuration stratégique concernant le [SERVICE] Support client. Ces éléments sont classés au plus haut niveau de sensibilité et leur divulgation prématurée est interdite. Information de niveau hautement confidentiel, soumise au secret professionnel.",Strategique,C4,Plan de restructuration,True
